instance,solver,result,PAR2_time
fcc/41-120403.cnf,glucose,sat,567.99
fcc/41-120405.cnf,glucose,sat,355.2
fcc/41-120446.cnf,glucose,sat,494.657
fcc/41-120455.cnf,glucose,sat,444.376
fcc/41-120475.cnf,glucose,sat,620.125
fcc/41-120516.cnf,glucose,sat,606.571
fcc/41-120517.cnf,glucose,sat,810.808
fcc/41-120549.cnf,glucose,sat,400.123
fcc/41-120554.cnf,glucose,sat,524.495
fcc/41-120579.cnf,glucose,sat,497.539
fcc/41-120619.cnf,glucose,sat,651.27
fcc/41-120632.cnf,glucose,sat,770.392
fcc/41-120658.cnf,glucose,unknown,10000
fcc/41-120748.cnf,glucose,sat,869.592
fcc/41-120838.cnf,glucose,sat,627.411
fcc/41-120860.cnf,glucose,sat,577.016
fcc/41-120892.cnf,glucose,sat,756.717
fcc/41-121081.cnf,glucose,unknown,10000
fcc/41-121206.cnf,glucose,unknown,10000
fcc/41-121357.cnf,glucose,sat,758.029
fcc/41-121380.cnf,glucose,sat,844.016
fcc/41-121673.cnf,glucose,unsat,745.542
fcc/41-121928.cnf,glucose,unsat,468.639
fcc/41-121960.cnf,glucose,sat,945.607
fcc/41-121991.cnf,glucose,sat,937.018
fcc/41-122267.cnf,glucose,unsat,767.615
fcc/41-122918.cnf,glucose,sat,2289.05
fcc/41-123066.cnf,glucose,sat,684.261
fcc/41-123515.cnf,glucose,sat,514.636
fcc/41-123959.cnf,glucose,sat,788.477
fcc/41-124001.cnf,glucose,sat,762.947
fcc/41-124107.cnf,glucose,sat,868.483
fcc/41-124909.cnf,glucose,sat,729.008
fcc/41-124951.cnf,glucose,sat,880.988
fcc/41-125448.cnf,glucose,sat,683.599
fcc/41-125932.cnf,glucose,sat,754.394
fcc/41-126262.cnf,glucose,sat,2957.54
fcc/41-126372.cnf,glucose,sat,953.358
fcc/41-126458.cnf,glucose,sat,3666.01
fcc/41-126460.cnf,glucose,sat,665.134
fcc/41-126489.cnf,glucose,sat,1019.69
fcc/41-126497.cnf,glucose,sat,3452.4
fcc/41-126521.cnf,glucose,sat,1336.98
fcc/41-126527.cnf,glucose,sat,1392.16
fcc/41-126557.cnf,glucose,sat,2599.72
fcc/41-126563.cnf,glucose,sat,1107.22
fcc/41-126581.cnf,glucose,sat,1191.04
fcc/41-126592.cnf,glucose,unknown,10000
fcc/41-126599.cnf,glucose,sat,1140.51
fcc/41-126603.cnf,glucose,unsat,638.246
fcc/41-126627.cnf,glucose,sat,1247.22
fcc/41-126633.cnf,glucose,unknown,10000
fcc/41-126655.cnf,glucose,unknown,10000
fcc/41-126660.cnf,glucose,sat,4222.86
fcc/41-126662.cnf,glucose,sat,869.361
fcc/41-126664.cnf,glucose,sat,1276.09
fcc/41-126719.cnf,glucose,sat,1528.46
fcc/41-126723.cnf,glucose,sat,2915.01
fcc/41-126739.cnf,glucose,sat,722.42
fcc/41-126751.cnf,glucose,sat,3512.1
fcc/41-126753.cnf,glucose,sat,938.306
fcc/41-126791.cnf,glucose,sat,2292.3
fcc/41-126792.cnf,glucose,sat,758.13
fcc/41-126876.cnf,glucose,sat,3291.36
fcc/41-126882.cnf,glucose,unknown,10000
fcc/41-126907.cnf,glucose,sat,2168.97
fcc/41-126935.cnf,glucose,sat,502.785
fcc/41-126954.cnf,glucose,sat,1437.89
fcc/41-126983.cnf,glucose,sat,3381.24
fcc/41-126986.cnf,glucose,unknown,10000
fcc/41-126991.cnf,glucose,unknown,10000
fcc/41-126997.cnf,glucose,unknown,10000
fcc/41-127187.cnf,glucose,unknown,10000
fcc/41-127227.cnf,glucose,unknown,10000
fcc/41-127273.cnf,glucose,unknown,10000
fcc/41-127348.cnf,glucose,unknown,10000
fcc/41-127390.cnf,glucose,unknown,10000
fcc/41-127478.cnf,glucose,unknown,10000
fcc/41-127492.cnf,glucose,unknown,10000
fcc/41-127540.cnf,glucose,unknown,10000
fcc/41-127564.cnf,glucose,unknown,10000
fcc/41-127680.cnf,glucose,unknown,10000
fcc/41-127766.cnf,glucose,unknown,10000
fcc/41-127906.cnf,glucose,unknown,10000
fcc/41-127942.cnf,glucose,unknown,10000
fcc/41-127979.cnf,glucose,unknown,10000
fcc/41-128139.cnf,glucose,unknown,10000
fcc/41-128234.cnf,glucose,unknown,10000
fcc/41-128557.cnf,glucose,unknown,10000
fcc/41-128742.cnf,glucose,unknown,10000
fcc/41-128760.cnf,glucose,unsat,1439.95
fcc/41-128961.cnf,glucose,unknown,10000
fcc/41-129542.cnf,glucose,unknown,10000
fcc/41-129745.cnf,glucose,unknown,10000
fcc/41-129856.cnf,glucose,unknown,10000
fcc/41-131165.cnf,glucose,unknown,10000
fcc/41-131435.cnf,glucose,unknown,10000
fcc/41-131811.cnf,glucose,unknown,10000
fcc/41-131812.cnf,glucose,unknown,10000
fcc/41-131815.cnf,glucose,unknown,10000
fcc/41-131836.cnf,glucose,unknown,10000
fcc/41-131843.cnf,glucose,unknown,10000
fcc/41-131849.cnf,glucose,unknown,10000
fcc/41-131850.cnf,glucose,unknown,10000
fcc/41-131865.cnf,glucose,unknown,10000
fcc/41-131872.cnf,glucose,unknown,10000
fcc/41-131873.cnf,glucose,unknown,10000
fcc/41-131881.cnf,glucose,unknown,10000
fcc/41-131904.cnf,glucose,unknown,10000
fcc/41-131909.cnf,glucose,unknown,10000
fcc/41-131912.cnf,glucose,unknown,10000
fcc/41-131928.cnf,glucose,unknown,10000
fcc/41-131943.cnf,glucose,unknown,10000
fcc/41-131963.cnf,glucose,unknown,10000
fcc/41-131969.cnf,glucose,unknown,10000
fcc/41-131973.cnf,glucose,unknown,10000
fcc/41-132024.cnf,glucose,unknown,10000
fcc/41-132029.cnf,glucose,unknown,10000
fcc/41-132060.cnf,glucose,unknown,10000
fcc/41-132102.cnf,glucose,unknown,10000
fcc/41-132108.cnf,glucose,unknown,10000
fcc/41-132117.cnf,glucose,unknown,10000
fcc/41-132164.cnf,glucose,unknown,10000
fcc/41-132186.cnf,glucose,unknown,10000
fcc/41-132208.cnf,glucose,unknown,10000
fcc/41-132240.cnf,glucose,unknown,10000
fcc/41-132262.cnf,glucose,unknown,10000
fcc/41-132312.cnf,glucose,unknown,10000
fcc/41-132392.cnf,glucose,unknown,10000
fcc/41-132506.cnf,glucose,unknown,10000
fcc/41-132552.cnf,glucose,unknown,10000
fcc/41-132567.cnf,glucose,unknown,10000
fcc/41-132665.cnf,glucose,unknown,10000
fcc/41-132813.cnf,glucose,unknown,10000
fcc/41-132877.cnf,glucose,unknown,10000
fcc/41-133018.cnf,glucose,unknown,10000
fcc/41-133030.cnf,glucose,unknown,10000
fcc/41-133033.cnf,glucose,unknown,10000
fcc/41-133999.cnf,glucose,unknown,10000
fcc/41-134043.cnf,glucose,unknown,10000
fcc/41-134087.cnf,glucose,unknown,10000
fcc/41-134165.cnf,glucose,unknown,10000
fcc/41-134173.cnf,glucose,unknown,10000
fcc/41-134179.cnf,glucose,unknown,10000
fcc/41-134233.cnf,glucose,unknown,10000
fcc/41-134236.cnf,glucose,unknown,10000
fcc/41-134240.cnf,glucose,unknown,10000
fcc/41-134254.cnf,glucose,unknown,10000
fcc/41-134277.cnf,glucose,unknown,10000
fcc/41-134278.cnf,glucose,unknown,10000
fcc/41-134298.cnf,glucose,unknown,10000
fcc/41-134310.cnf,glucose,unknown,10000
fcc/41-134333.cnf,glucose,unknown,10000
fcc/41-134335.cnf,glucose,unknown,10000
fcc/41-16980.cnf,glucose,sat,0.121705
fcc/41-20486.cnf,glucose,sat,0.139896
fcc/41-22906.cnf,glucose,sat,0.151177
fcc/41-27263.cnf,glucose,sat,0.173158
fcc/41-27283.cnf,glucose,sat,0.156304
fcc/41-28751.cnf,glucose,sat,0.147175
fcc/41-43514.cnf,glucose,sat,0.162383
fcc/41-44982.cnf,glucose,sat,0.159861
fcc/41-55415.cnf,glucose,sat,0.173119
fcc/41-64525.cnf,glucose,sat,0.208322
fcc/41-64983.cnf,glucose,sat,0.20001
fcc/41-67074.cnf,glucose,sat,0.231043
fcc/41-76896.cnf,glucose,sat,0.259944
fcc/41-77322.cnf,glucose,sat,0.254957
fcc/41-79696.cnf,glucose,sat,0.270783
fcc/41-81629.cnf,glucose,sat,0.275744
fcc/41-81830.cnf,glucose,sat,0.278641
fcc/41-82326.cnf,glucose,sat,0.28378
fcc/41-82333.cnf,glucose,sat,0.28324
fcc/41-82939.cnf,glucose,sat,0.287134
fcc/41-83192.cnf,glucose,sat,0.28278
fcc/41-83884.cnf,glucose,sat,0.302805
fcc/41-84165.cnf,glucose,sat,0.307214
fcc/41-85460.cnf,glucose,sat,0.29774
fcc/41-85515.cnf,glucose,sat,0.307796
fcc/41-86250.cnf,glucose,sat,0.313147
fcc/41-89891.cnf,glucose,sat,0.331888
fcc/41-90062.cnf,glucose,sat,0.460087
fcc/41-90530.cnf,glucose,sat,0.445105
fcc/41-90629.cnf,glucose,sat,0.338825
fcc/41-92106.cnf,glucose,sat,0.325828
fcc/41-92543.cnf,glucose,sat,0.511038
fcc/41-92806.cnf,glucose,sat,0.355115
fcc/41-92877.cnf,glucose,sat,0.372012
fcc/41-95184.cnf,glucose,sat,0.375294
fcc/41-96436.cnf,glucose,sat,0.386312
fcc/41-96605.cnf,glucose,sat,0.379762
fcc/41-97291.cnf,glucose,sat,0.432165
fcc/41-99165.cnf,glucose,sat,0.426963
fcc/41-99363.cnf,glucose,sat,0.448472
fcc/41-99963.cnf,glucose,sat,0.428069
fcc/42-100166.cnf,glucose,sat,0.484026
fcc/42-100317.cnf,glucose,sat,0.463133
fcc/42-100692.cnf,glucose,sat,0.482443
fcc/42-101732.cnf,glucose,sat,0.451409
fcc/42-102027.cnf,glucose,sat,0.486648
fcc/42-102179.cnf,glucose,sat,0.487889
fcc/42-102187.cnf,glucose,sat,0.514721
fcc/42-102233.cnf,glucose,sat,0.487156
fcc/42-102490.cnf,glucose,sat,0.492384
fcc/42-102811.cnf,glucose,sat,0.494062
fcc/42-103662.cnf,glucose,sat,0.480374
fcc/42-103854.cnf,glucose,sat,0.524332
fcc/42-103978.cnf,glucose,sat,0.514089
fcc/42-103979.cnf,glucose,sat,0.594189
fcc/42-104029.cnf,glucose,sat,0.521034
fcc/42-104196.cnf,glucose,sat,0.52855
fcc/42-104345.cnf,glucose,sat,0.545002
fcc/42-104443.cnf,glucose,sat,0.525891
fcc/42-104482.cnf,glucose,sat,0.519985
fcc/42-104660.cnf,glucose,sat,0.523006
fcc/42-104690.cnf,glucose,sat,0.527172
fcc/42-104980.cnf,glucose,sat,0.519099
fcc/42-105001.cnf,glucose,sat,0.527632
fcc/42-105015.cnf,glucose,sat,0.51919
fcc/42-105313.cnf,glucose,sat,0.525534
fcc/42-105587.cnf,glucose,sat,0.520833
fcc/42-105779.cnf,glucose,sat,0.541934
fcc/42-105902.cnf,glucose,sat,0.531667
fcc/42-105918.cnf,glucose,sat,0.545711
fcc/42-105926.cnf,glucose,sat,0.536585
fcc/42-105977.cnf,glucose,sat,0.549957
fcc/42-106055.cnf,glucose,sat,0.581757
fcc/42-106059.cnf,glucose,sat,0.572683
fcc/42-106084.cnf,glucose,sat,0.560141
fcc/42-106310.cnf,glucose,sat,0.610379
fcc/42-106556.cnf,glucose,sat,0.56853
fcc/42-106615.cnf,glucose,sat,0.58552
fcc/42-106655.cnf,glucose,sat,0.596744
fcc/42-106678.cnf,glucose,sat,0.550393
fcc/42-106743.cnf,glucose,sat,0.564811
fcc/42-106807.cnf,glucose,sat,0.703962
fcc/42-106824.cnf,glucose,sat,0.592585
fcc/42-107023.cnf,glucose,sat,0.560303
fcc/42-107067.cnf,glucose,sat,0.569274
fcc/42-107128.cnf,glucose,sat,0.585954
fcc/42-107163.cnf,glucose,sat,0.569697
fcc/42-107314.cnf,glucose,sat,0.580484
fcc/42-107337.cnf,glucose,sat,0.599088
fcc/42-107449.cnf,glucose,sat,0.587322
fcc/42-107546.cnf,glucose,sat,0.559637
fcc/42-107584.cnf,glucose,sat,0.559432
fcc/42-107615.cnf,glucose,sat,0.553462
fcc/42-107714.cnf,glucose,sat,0.618515
fcc/42-107793.cnf,glucose,sat,0.59934
fcc/42-107895.cnf,glucose,sat,0.669121
fcc/42-107899.cnf,glucose,sat,0.64883
fcc/42-107932.cnf,glucose,sat,0.654337
fcc/42-107967.cnf,glucose,sat,0.61915
fcc/42-107976.cnf,glucose,sat,0.625068
fcc/42-108141.cnf,glucose,sat,0.651124
fcc/42-108143.cnf,glucose,sat,0.621631
fcc/42-108151.cnf,glucose,sat,0.687722
fcc/42-108156.cnf,glucose,sat,0.606496
fcc/42-108263.cnf,glucose,sat,0.603037
fcc/42-108322.cnf,glucose,sat,0.641101
fcc/42-108361.cnf,glucose,sat,0.631447
fcc/42-108396.cnf,glucose,sat,0.608588
fcc/42-108451.cnf,glucose,sat,0.610504
fcc/42-108463.cnf,glucose,sat,0.629913
fcc/42-108491.cnf,glucose,sat,0.637843
fcc/42-108578.cnf,glucose,sat,0.675401
fcc/42-108623.cnf,glucose,sat,0.734585
fcc/42-108687.cnf,glucose,sat,0.620759
fcc/42-108709.cnf,glucose,sat,0.607822
fcc/42-108718.cnf,glucose,sat,0.603191
fcc/42-108838.cnf,glucose,sat,0.650202
fcc/42-108993.cnf,glucose,sat,0.616899
fcc/42-109012.cnf,glucose,sat,0.702056
fcc/42-109089.cnf,glucose,sat,0.633785
fcc/42-109290.cnf,glucose,sat,0.620588
fcc/42-110156.cnf,glucose,unsat,0.770599
fcc/42-112322.cnf,glucose,sat,0.800955
fcc/42-112530.cnf,glucose,sat,0.904651
fcc/42-112570.cnf,glucose,sat,0.797341
fcc/42-112674.cnf,glucose,sat,0.746089
fcc/42-112924.cnf,glucose,sat,1.04717
fcc/42-112945.cnf,glucose,sat,0.804379
fcc/42-112950.cnf,glucose,sat,0.944678
fcc/42-112965.cnf,glucose,sat,0.745806
fcc/42-112983.cnf,glucose,sat,0.895336
fcc/42-113002.cnf,glucose,sat,0.9741
fcc/42-113021.cnf,glucose,sat,0.724506
fcc/42-113042.cnf,glucose,sat,0.89274
fcc/42-113060.cnf,glucose,sat,0.734471
fcc/42-113075.cnf,glucose,sat,0.918133
